,smiles,mole_logp,tpsa,mol_wt,hbd,hba,valencee,max_partialcharge,min_partialcharge,rotatablebd,ringct,stereocent,dipole_moment,enthalpy,internal_energy,internal_energy_zero,free_energy,homo,lumo,gap,zero_point_vib_energy
110458,OCCOC=O,-0.8483000000000003,46.53,90.031694052,1,3,"(36,)",0.29265987252290077,-0.4654563602423188,3,0,0,3.2052,-343.510108,-343.511052,-343.517848,-343.54935,-0.281,0.0033,0.2843,0.095121
47289,C1OC1C1C2CC1CC2,1.4313,12.53,124.088815004,0,1,"(50,)",0.0842828979568848,-0.3728058526611761,1,4,3,1.8107,-387.046782,-387.047726,-387.055261,-387.087606,-0.2595,0.0914,0.3509,0.185236
126554,COC(=O)C1OC2CC12,-0.053300000000000125,35.53,128.047344116,0,3,"(50,)",0.334884777803236,-0.46707992452351194,1,2,3,2.8338,-458.93071,-458.931654,-458.940164,-458.974309,-0.2442,0.0016,0.2459,0.134755
66398,O=COC1(COC1)C#C,-0.4383999999999999,35.53,126.031694052,0,3,"(48,)",0.29428230934982336,-0.4429928034805796,2,1,0,3.3481,-457.703371,-457.704315,-457.713234,-457.748027,-0.2722,-0.0092,0.263,0.109325
115790,COCC(C=O)C#C,0.08110000000000017,26.3,112.052429496,0,2,"(44,)",0.1368101548985902,-0.38294732193966013,3,0,1,3.4738,-383.686664,-383.687608,-383.696972,-383.73176,-0.2502,-0.0284,0.2219,0.126452
46944,C1OCC2NC2C2NC12,-1.3025999999999989,53.11,126.07931294,2,3,"(50,)",0.06359138265619341,-0.3780866803621754,0,3,4,2.2107,-419.131664,-419.132608,-419.13985,-419.171312,-0.2399,0.0611,0.301,0.162985
99249,CCC1(COC1)C#CC,1.4363,9.23,124.088815004,0,1,"(50,)",0.07770447051423807,-0.378110212319093,1,1,0,2.0735,-387.039095,-387.040039,-387.050576,-387.08885,-0.2464,0.0479,0.2943,0.180331
64590,CC1OC(C=O)=NC1C,0.3909999999999999,38.66,127.063328528,0,3,"(50,)",0.2502023178551803,-0.47030899949219845,1,1,2,3.5062,-439.106379,-439.107323,-439.116311,-439.150736,-0.2607,-0.0706,0.1901,0.146582
55507,N=C1NC2=C(CCC2)O1,0.5758700000000001,52.78,124.063662876,2,2,"(48,)",0.29095635653306745,-0.4287470071144433,0,2,0,3.6077,-418.031988,-418.032932,-418.040467,-418.07252,-0.1838,0.0431,0.2269,0.138946
88138,CC1(CN1)C(=O)CC#N,-0.1689199999999999,62.800000000000004,124.063662876,1,3,"(48,)",0.16737236951450074,-0.3017800412147427,2,1,1,6.6374,-418.003611,-418.004555,-418.013903,-418.049051,-0.2622,-0.0376,0.2246,0.134186
42976,OC1CCC2OCC1O2,-0.11740000000000017,38.69,130.06299418,1,3,"(52,)",0.15793322300490453,-0.39032462791250866,0,2,3,0.7645,-460.170637,-460.171581,-460.178766,-460.210083,-0.2539,0.0772,0.3311,0.162533
12479,CC1C2CC1(C)C2CO,1.2708,20.23,126.104465068,1,1,"(52,)",0.04668430548068524,-0.3960551093918505,1,3,4,1.66,-388.22955,-388.230494,-388.240237,-388.274589,-0.2548,0.074,0.3288,0.205078
26736,C1CC2(C1)OC1CC2C1,1.7179,9.23,124.088815004,0,1,"(50,)",0.07158341682644212,-0.37145595089655076,0,4,0,1.4122,-387.056122,-387.057067,-387.064289,-387.095714,-0.2323,0.0903,0.3225,0.184852
100280,CCC1OC(C)OC1C,1.5463,18.46,130.099379688,0,2,"(54,)",0.1552924269537039,-0.3473175200111638,1,1,3,0.9904,-425.439797,-425.440741,-425.450784,-425.485884,-0.2487,0.0906,0.3393,0.204495
51388,CN=C(NC=O)C#CC,-0.21599999999999997,41.46,124.063662876,1,2,"(48,)",0.21265709722016787,-0.3063768455805492,1,0,0,5.9588,-417.995343,-417.996287,-418.007002,-418.046011,-0.2361,-0.0359,0.2002,0.132914
43388,CC1CCC=C(CO)C1,1.7250999999999999,20.23,126.104465068,1,1,"(52,)",0.064136028594931,-0.3920240299152598,1,1,1,1.3795,-388.303119,-388.304063,-388.313739,-388.348135,-0.2232,0.0383,0.2615,0.206209
27290,COCC1CC(C)C1C,1.9249,9.23,128.120115132,0,1,"(54,)",0.049274478073293486,-0.3843911408943912,2,1,3,0.9393,-389.463208,-389.464152,-389.474882,-389.510852,-0.2493,0.0745,0.3238,0.227553
83886,CC1C2COC1C21CC1,1.4313,9.23,124.088815004,0,1,"(50,)",0.06637683466223214,-0.3770164901207053,0,4,3,1.5956,-387.043398,-387.044342,-387.052262,-387.0842,-0.2328,0.0921,0.3249,0.183724
127024,COCC1CC2(C)OC12,0.8102,21.759999999999998,128.083729624,0,2,"(52,)",0.09283119026865563,-0.3842958110788342,2,2,3,1.0236,-424.172641,-424.173585,-424.183211,-424.218085,-0.2445,0.0923,0.3369,0.180378
