,Unnamed: 0,smiles,mole_logp,tpsa,mol_wt,hbd,hba,valencee,max_partialcharge,min_partialcharge,rotatablebd,ringct,stereocent,dipole_moment,enthalpy,internal_energy,internal_energy_zero,free_energy,homo,lumo,gap,zero_point_vib_energy
80704,80704,OCC(C#C)C#CC#C,-0.1353000000000002,20.23,118.041864812,1,1,"(44,)",0.1048379211472041,-0.394070244546605,1,0,1,1.011,-383.379422,-383.380366,-383.390139,-383.425247,-0.2487,-0.0227,0.226,0.109023
65243,65243,OC1C2NC1(C#C)C2O,-1.9344,52.49,125.047678464,3,3,"(48,)",0.1357110843495297,-0.38830168785601,0,3,2,2.9389,-437.764349,-437.765293,-437.773455,-437.805879,-0.2457,0.0183,0.264,0.123328
127044,127044,C1C2C3CC(CCO3)N12,0.2318,12.24,125.084063972,0,2,"(50,)",0.0757241957200529,-0.3764158857765057,0,3,4,1.2046,-403.111686,-403.11263,-403.119162,-403.149575,-0.2233,0.0819,0.3052,0.175386
78132,78132,CC1=CC2CC(O2)C1O,0.4646999999999999,29.46,126.06807956,1,2,"(50,)",0.1010964771457383,-0.3860452658455059,0,3,3,2.0914,-423.006427,-423.007371,-423.015176,-423.047111,-0.2388,0.0018,0.2405,0.160473
90425,90425,CC1CC1(O)CCC=O,0.7363999999999999,37.3,128.083729624,1,2,"(52,)",0.1195998322125359,-0.3895875140680286,3,1,2,2.1074,-424.213274,-424.214219,-424.224729,-424.261135,-0.2481,-0.0208,0.2273,0.178994
113098,113098,CNC1=CN=CC(O)=N1,0.2238999999999998,58.040000000000006,125.058911844,2,4,"(48,)",0.2312770191321262,-0.4921283459046016,1,1,0,3.6757,-434.119041,-434.119985,-434.128136,-434.161073,-0.2058,-0.0258,0.18,0.12617
105930,105930,CC(N1CC1)C(N)=O,-0.8242,46.1,114.07931294,1,2,"(46,)",0.2339939063137176,-0.3683212410774515,2,1,1,3.07,-381.112475,-381.11342,-381.122384,-381.15611,-0.2202,0.0222,0.2425,0.15297
125628,125628,O=CC(=O)CCC#C,0.1677999999999999,34.14,110.036779432,0,2,"(42,)",0.1956305388701665,-0.2946108291838663,3,0,0,0.319,-382.515532,-382.516476,-382.525251,-382.559815,-0.2553,-0.1011,0.1542,0.103122
27693,27693,COC1C2C3NC3C12O,-1.2837000000000005,51.400000000000006,127.063328528,2,3,"(50,)",0.1148410854045745,-0.3849956401115039,1,3,5,1.0722,-438.950891,-438.951836,-438.960551,-438.994135,-0.2023,0.0662,0.2685,0.145383
32579,32579,CC(O)C1CC2CC12C,1.4133,20.23,126.104465068,1,1,"(52,)",0.0545192534747814,-0.3931081963955949,1,2,4,1.4613,-388.258561,-388.259505,-388.269337,-388.303628,-0.237,0.0716,0.3086,0.204474
103608,103608,CC12CC1C(=O)C2(C)C,1.6215,17.07,124.088815004,0,1,"(50,)",0.1422136152652467,-0.2987483250181228,0,2,2,3.3054,-387.087,-387.087944,-387.097457,-387.130936,-0.2306,-0.0048,0.2258,0.180452
64854,64854,C1NC1C12CC(CC1)O2,0.2796999999999996,31.17,125.084063972,1,2,"(50,)",0.0876045269141331,-0.3698741424578656,1,4,3,1.0829,-403.09247,-403.093414,-403.101,-403.133584,-0.2405,0.073,0.3135,0.173327
36215,36215,CC(C)(O)C1NC1C=O,-0.7034000000000002,59.24,129.078978592,2,3,"(52,)",0.1381223469481274,-0.3887666631115765,2,1,2,4.014,-440.258055,-440.259,-440.269166,-440.304468,-0.2357,-0.0114,0.2243,0.167543
19490,19490,CC12C3C4C5C(C15)C2C34,1.3741,0.0,118.07825032,0,0,"(46,)",-0.022382111276278,-0.0587825080170585,0,6,6,0.0742,-348.694882,-348.695826,-348.702079,-348.732125,-0.2369,0.0863,0.3232,0.161576
68870,68870,CCCC1=CC(C)=NO1,1.93552,26.03,125.084063972,0,2,"(50,)",0.1364819686204467,-0.3611685776960392,2,1,0,2.9267,-403.158458,-403.159402,-403.168898,-403.204136,-0.2457,0.0014,0.2472,0.170289
39132,39132,CC(=N)NC=O,-0.2704300000000001,52.95,86.048012812,2,2,"(34,)",0.211892592990088,-0.3175931499480568,1,0,0,0.9105,-302.58125,-302.582194,-302.588564,-302.618688,-0.2611,-0.0177,0.2434,0.096761
59343,59343,CC1=C(OC(=O)N1)C#C,0.2576199999999999,46.0,123.0320284,1,2,"(46,)",0.4171751127841924,-0.3988993063895252,0,1,0,5.1116,-436.710444,-436.711389,-436.719711,-436.752572,-0.2122,-0.0213,0.1909,0.09985
109395,109395,O=C1COC2C3OC3C12,-0.6485000000000001,38.83,126.031694052,0,3,"(48,)",0.1664609820383471,-0.3667694371127466,0,3,4,3.0153,-457.720516,-457.72146,-457.728189,-457.759547,-0.2423,-0.0312,0.2112,0.112826
29597,29597,CN(C)C1=CC=C(C)O1,1.6540199999999998,16.380000000000003,125.084063972,0,2,"(50,)",0.194577390145236,-0.4458862820751737,1,1,0,0.9384,-403.166333,-403.167277,-403.176838,-403.211259,-0.1705,0.0403,0.2108,0.170142
46929,46929,COC1COC1=N,0.0088699999999998,42.31,101.047678464,1,3,"(40,)",0.2137020599441891,-0.4758283388373037,1,1,1,1.6477,-361.684122,-361.685066,-361.692023,-361.723232,-0.2561,0.0144,0.2705,0.113208
8516,8516,OCC1NC(=O)C11CN1,-2.1808999999999994,71.27,128.058577496,3,3,"(50,)",0.2437468706285949,-0.3941488041127394,1,2,2,5.308,-455.111957,-455.112901,-455.121738,-455.155561,-0.2402,0.0194,0.2597,0.135768
7392,7392,O=CC12CC1CCC2=O,0.5545,34.14,124.052429496,0,2,"(48,)",0.145914399709622,-0.3022637772773945,1,2,2,3.6516,-421.854759,-421.855704,-421.863625,-421.896228,-0.244,-0.0319,0.2122,0.136098
130847,130847,CN=C1OC2CC1C2,0.8235,21.59,111.068413908,0,2,"(44,)",0.1861733798131385,-0.4774271079935591,0,3,0,2.5133,-363.84288,-363.843825,-363.850781,-363.882411,-0.2421,0.0359,0.278,0.143857
51069,51069,CCN1CCC(=O)C=C1,0.7948,20.31,125.084063972,0,2,"(50,)",0.1583939482252408,-0.377081244351107,1,1,0,5.7038,-403.180267,-403.181212,-403.189998,-403.223843,-0.2057,-0.0235,0.1822,0.172279
131326,131326,CCC1(CC1C)C#CC,2.445900000000001,0.0,122.109550448,0,0,"(50,)",0.0340663149382135,-0.1061327928681114,1,1,2,0.2412,-351.120798,-351.121742,-351.133037,-351.170506,-0.222,0.063,0.2851,0.202995
25712,25712,CN=C1OC(N)=NC=C1,-0.2127000000000002,64.41,125.058911844,1,4,"(48,)",0.2930212720337641,-0.4073128169548974,0,1,0,3.1976,-434.10309,-434.104034,-434.112524,-434.145952,-0.2067,-0.0276,0.1791,0.124975
36879,36879,CC1=NC=NC(F)=C1,0.92412,25.78,112.04367638,0,2,"(42,)",0.215609051529143,-0.2414713660177981,0,1,0,2.4483,-402.808657,-402.809601,-402.816226,-402.847557,-0.2668,-0.0367,0.23,0.096399
37133,37133,CC12C3N1C1C=C2C=C31,0.6915,3.01,117.057849224,0,1,"(44,)",0.064040253866155,-0.2727773041818213,0,5,4,1.1422,-363.393081,-363.394025,-363.400341,-363.430443,-0.2034,-0.0617,0.1417,0.124066
101754,101754,O=CN1C2CC2C1C#C,-0.1513,20.31,121.052763844,0,1,"(46,)",0.2104811051067327,-0.3276525513288047,1,2,3,4.164,-400.680821,-400.681766,-400.689988,-400.723299,-0.2377,0.0174,0.2551,0.123037
65046,65046,N#CC1CN2C3CC2C13,0.21248,27.03,120.068748256,0,2,"(46,)",0.0672982374608462,-0.2952356726607639,0,5,3,3.6874,-380.818897,-380.819841,-380.826555,-380.857817,-0.252,0.0329,0.2849,0.138954
121969,121969,CCC(OC)C(C)OC,1.4463,18.46,132.115029752,0,2,"(56,)",0.0826910485253947,-0.3790501348129621,4,0,2,1.7529,-426.598159,-426.599103,-426.611175,-426.649159,-0.241,0.0735,0.3144,0.224927
72357,72357,N#CC12C3CN=C1NC23,-0.4899200000000001,48.18,119.04834716,1,3,"(44,)",0.1409970849768597,-0.3671611958767262,0,3,3,2.855,-395.591443,-395.592388,-395.599111,-395.630219,-0.2512,-0.0837,0.1674,0.101653
34481,34481,NC1=NC(O)=CN=C1F,-0.0964999999999999,72.03,129.033839968,2,4,"(48,)",0.2551851310072173,-0.492125842542767,0,1,0,3.2898,-494.088827,-494.089771,-494.097023,-494.128532,-0.2147,-0.0355,0.1792,0.090293
98186,98186,O=CN1C=CC(C=O)=N1,-0.2661,51.96,124.027277368,0,4,"(46,)",0.2335829186723952,-0.2960856598409664,2,1,0,6.4197,-452.77325,-452.774194,-452.781674,-452.814299,-0.2641,-0.0856,0.1784,0.089318
58629,58629,CC1OCOC(=O)C1N,-0.7669000000000004,61.55,131.058243148,1,4,"(52,)",0.3272227545605603,-0.4372250781362578,0,1,2,2.7691,-476.242509,-476.243453,-476.252108,-476.285476,-0.2435,0.0013,0.2447,0.148584
118747,118747,CN1C2CNC2C1C#N,-0.83562,39.06,123.079647288,1,3,"(48,)",0.1149117536379859,-0.3084212043164487,0,2,3,5.5101,-398.06943,-398.070374,-398.078669,-398.111639,-0.2295,0.0194,0.2488,0.148353
108104,108104,CC(=O)C(=O)C(=O)C#N,-0.76282,75.0,125.011292956,0,4,"(46,)",0.3051877812255734,-0.2906355820619944,2,0,0,3.8427,-472.637409,-472.638353,-472.647816,-472.683919,-0.2734,-0.1415,0.1319,0.072945
116868,116868,N#CCC12OC1C1CC21,0.68738,36.32,121.052763844,0,2,"(46,)",0.1111532308056695,-0.364306006815346,1,3,4,2.1631,-400.67454,-400.675484,-400.683076,-400.7157,-0.2458,0.0244,0.2702,0.123688
72974,72974,CCC(COC)C1CO1,1.0578,21.76,130.099379688,0,2,"(54,)",0.0859392424750553,-0.3842984036787555,4,1,2,1.4037,-425.381957,-425.382901,-425.393633,-425.430315,-0.2499,0.0823,0.3323,0.203634
42051,42051,N#CC1=CC=CCOC1,1.02278,33.02,121.052763844,0,2,"(46,)",0.097124219343573,-0.3719626582201789,0,1,0,5.1665,-400.756838,-400.757783,-400.765548,-400.798232,-0.2419,-0.0748,0.1671,0.125929
108799,108799,CCN=C1OC=CC=C1,1.2002,25.5,123.068413908,0,2,"(48,)",0.2132359565062967,-0.4470652204953593,1,1,0,2.6446,-401.97191,-401.972854,-401.981193,-402.014878,-0.2059,-0.0432,0.1627,0.148447
37301,37301,OCC12CC(OC1)C2O,-0.8715000000000002,49.69,130.06299418,2,3,"(52,)",0.0902735531489738,-0.3955998849786405,1,3,3,1.9418,-460.121725,-460.12267,-460.130881,-460.163562,-0.2417,0.066,0.3078,0.160034
106749,106749,CC(=O)C1CC1N1CC1,0.2795000000000001,20.08,125.084063972,0,2,"(50,)",0.1340294323964755,-0.2996501122007179,2,2,2,2.2649,-403.108867,-403.109811,-403.119162,-403.154251,-0.2217,-0.0086,0.2132,0.169259
89992,89992,CC1C2C3C(C)C2(C)N13,1.0973,3.24,123.104799416,0,1,"(50,)",0.0285666353510052,-0.2904408127053956,0,5,6,1.4913,-367.123136,-367.12408,-367.133016,-367.165864,-0.2211,0.0931,0.3141,0.193113
80158,80158,CC1C(O)C11C2CC1O2,0.1544999999999999,29.46,126.06807956,1,2,"(50,)",0.0713350100389493,-0.3920247337833839,0,4,4,1.3443,-422.914191,-422.915135,-422.923625,-422.956578,-0.2345,0.0679,0.3024,0.157856
113007,113007,OC1CC2(CC2)C2OC12,0.2986,32.76,126.06807956,1,2,"(50,)",0.1105437380772733,-0.3902934317570717,0,3,3,1.905,-422.992981,-422.993925,-423.001769,-423.034038,-0.2502,0.0778,0.328,0.160042
88194,88194,CC12OCC1C2CCO,0.4037,29.46,128.083729624,1,2,"(52,)",0.0741358181676767,-0.3963635537974714,2,2,3,2.7881,-424.170186,-424.17113,-424.180721,-424.215507,-0.2292,0.0783,0.3075,0.181186
107043,107043,N#CC12NC3C1CNC23,-1.17782,47.85,121.063997224,2,3,"(46,)",0.1291156644925203,-0.3093963717444756,0,5,4,5.3126,-396.860415,-396.861359,-396.868056,-396.899157,-0.2372,0.0076,0.2448,0.127812
102304,102304,CN1C(=O)C2NC2C1=O,-1.6746,59.32,126.042927432,1,3,"(48,)",0.2477775697481884,-0.2911678318524879,0,2,2,2.365,-453.980709,-453.981653,-453.989505,-454.022792,-0.2631,-0.036,0.2271,0.113779
40033,40033,O=CC1CCC(=O)N1,-0.5361,46.17,113.047678464,1,2,"(44,)",0.2201573944186425,-0.3465809351200148,1,1,1,4.4496,-399.847634,-399.848579,-399.855995,-399.888304,-0.2481,-0.0404,0.2077,0.119395
94253,94253,CC1OCC1(C)O,0.1560999999999999,29.46,102.06807956,1,2,"(42,)",0.1108881247743738,-0.3850601060024714,0,1,2,2.3266,-346.831732,-346.832677,-346.840522,-346.871994,-0.2427,0.0662,0.309,0.146404
49281,49281,CC1(C)CC(=O)C=C1,1.5416,17.07,110.07316494,0,1,"(44,)",0.1557372517332512,-0.2948419921052693,0,1,0,3.6287,-347.842285,-347.843229,-347.851192,-347.883522,-0.2354,-0.0432,0.1922,0.153237
25417,25417,CC#CC(C)(N)CC#N,0.6407800000000001,49.81,122.08439832,1,2,"(48,)",0.0877939396705156,-0.3145255374502078,1,0,1,5.5857,-382.049849,-382.050793,-382.061786,-382.09947,-0.2475,0.026,0.2734,0.156703
127949,127949,O=CNCC#CC=O,-1.0653,46.17,111.0320284,1,2,"(42,)",0.2073753177559452,-0.3477389944382211,2,0,0,3.9073,-398.584698,-398.585643,-398.594376,-398.629899,-0.2696,-0.07,0.1996,0.093528
74232,74232,CC1CC11C(C)CC1C,2.688500000000001,0.0,124.125200512,0,0,"(52,)",-0.0217320979760482,-0.0619477177472884,0,2,3,0.0193,-352.33259,-352.333534,-352.343705,-352.37851,-0.2518,0.0791,0.3309,0.227873
10631,10631,C1NC1C1OC1C1CN1,-1.3026,56.41,126.07931294,2,3,"(50,)",0.1023002660428025,-0.3660828890604268,2,3,4,0.5192,-419.112651,-419.113595,-419.121982,-419.155748,-0.2451,0.0729,0.318,0.16049
71239,71239,CC1=NC(=O)NC(=N)O1,-0.8492100000000002,82.74,127.0381764,2,4,"(48,)",0.3514872595593744,-0.4111198135693757,0,1,0,4.0975,-470.07485,-470.075794,-470.083626,-470.116523,-0.2698,-0.0525,0.2174,0.101727
45755,45755,N#CCC1CCCCC1,2.4803800000000003,23.79,123.104799416,0,1,"(50,)",0.0624160724002109,-0.1983362986815092,1,1,0,4.1294,-367.253583,-367.254527,-367.263239,-367.296829,-0.3049,0.0366,0.3415,0.196999
29602,29602,CCC#CC1=CN=CN1,1.1711999999999998,28.68,120.068748256,1,1,"(46,)",0.1089945161490124,-0.3381621441410495,0,1,0,3.726,-380.885106,-380.88605,-380.894799,-380.93,-0.2075,-0.0021,0.2054,0.13749
125100,125100,OCC12COC1C2C#N,-0.48272,53.25,125.047678464,1,3,"(48,)",0.0858389349321594,-0.3955511542333534,1,2,3,4.2645,-437.831841,-437.832786,-437.84119,-437.874724,-0.2617,0.0193,0.281,0.123781
111696,111696,N#CC12COC(C1)C=C2,0.85508,33.02,121.052763844,0,2,"(46,)",0.1014591748663143,-0.3720895229753099,0,2,2,3.297,-400.749765,-400.750709,-400.757498,-400.788514,-0.263,-0.0167,0.2463,0.126772
52145,52145,NC(=O)C1=NC(O)=CO1,-0.5209,89.35000000000001,128.022191988,2,4,"(48,)",0.3041946594590674,-0.4909959289462072,1,1,0,3.5596,-489.933916,-489.93486,-489.942953,-489.976134,-0.2342,-0.0478,0.1864,0.089447
131561,131561,CC1=C(CC#C)CCC1,2.5101000000000004,0.0,120.093900384,0,0,"(48,)",0.0298606083315862,-0.1197665754128824,1,1,0,0.8085,-349.938017,-349.938962,-349.948631,-349.983527,-0.2243,0.0269,0.2512,0.181477
5975,5975,CC1=CC(C)=CN=C1,1.69844,12.89,107.073499288,0,1,"(42,)",0.0296746901399576,-0.2641818022519834,0,1,0,2.5058,-326.791882,-326.792826,-326.800711,-326.833947,-0.2434,-0.0195,0.2239,0.143296
101515,101515,C#CC1OC11CC2OC12,-0.0717000000000001,25.06,122.036779432,0,2,"(46,)",0.1501564737743647,-0.366164839276175,0,3,4,0.751,-420.508994,-420.509938,-420.517653,-420.55005,-0.2556,0.0146,0.2701,0.110086
91202,91202,COC1(CC1)C1CC1O,0.5462,29.46,128.083729624,1,2,"(52,)",0.0734069534390664,-0.3927112319334826,2,2,2,2.9584,-424.163099,-424.164044,-424.17355,-424.208323,-0.2192,0.0714,0.2906,0.180694
